Register number,Full Name,Father’s Name,Mother’s Name,Email,Phone Number,Date Of Birth,Gender,Aadhar,Batch Year,Degree,Current Status,Company Name,Designation,PG College,Skills,Reviews,LinkedIn Profile,Age,Username,Password
211JPY00000,Devansh Gade,Wriddhish Bawa,Lopa Sengupta,user0_mallickgarima@example.org,5327501141,1998-03-30,Male,733395456472,2023,Master of Science,CEO / Executive,Johal Ltd,CEO / Executive,Not Applicable,"Sales, Digital Marketing, Cloud Computing",Good hands-on training though it was quite rigorous.,https://linkedin.com/in/user_9470277,28,,
232BZ00001,Fiyaz Ray,Laksh Bansal,Mugdha Reddy,user1_jyoti48@example.com,2021441726,1992-07-12,Female,402909711894,2017,Master of Business Administration,Self-Employed,Self,Self-Employed,Not Applicable,"Cybersecurity, SQL, Quality Assurance",Highly engaging hands-on training overall a wonderful journey.,https://linkedin.com/in/user_1023022,34,,
232SW00002,Tripti Tripathi,Chandran Dey,Nidhi Bath,user2_tatapooja@example.com,3798825028,1995-02-14,Male,034625858726,2021,Bachelor of Pharmacy,Postdoctoral Researcher,Not Applicable,Student / Scholar,Srivastava and Sons University,"Sales, Communication, Cloud Computing",Highly engaging faculty support which helped my career immensely.,https://linkedin.com/in/user_0672734,31,,
231BCOMC00003,Yagnesh Bhakta,Manan Goel,Aahana Chauhan,user3_sathvik86@example.org,0859403688,1996-09-17,Other,190037180497,2024,Bachelor of Social Work,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Wet-Lab Techniques, SQL, Machine Learning",Great peer group which helped my career immensely.,https://linkedin.com/in/user_8005211,30,,
212ECPS00004,Kashish Dara,Ansh Prabhu,Zaitra Som,user4_rehaan20@example.com,1161757242,2000-05-20,Other,147890986964,2020,Master of Business Administration,Career Break,Not Applicable,Not Applicable,Not Applicable,"Spectroscopic Analysis, C++, Data Analysis",Good research facility which helped my career immensely.,https://linkedin.com/in/user_7006632,26,,
222ECPS00005,Lila Baria,Arjun Date,Ishita Choudhry,user5_xavier58@example.com,7982768001,1999-09-24,Female,848425077993,2021,Bachelor of Social Work,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Communication, Cybersecurity, Marketing",Highly engaging academic environment and very supportive staff.,https://linkedin.com/in/user_2434513,27,,
232BCOMB00006,Ekaja Malhotra,Ronith Saha,Lajita Badami,user6_chakrikabawa@example.net,5380971261,2000-04-17,Male,310567523017,2023,Bachelor of Dental Surgery,Consultant,Bansal-Manne,Occupational hygienist,Not Applicable,"Machine Learning, Financial Modeling, Graphic Design",Great research facility and very supportive staff.,https://linkedin.com/in/user_1608952,26,,
221BZ00007,Fiyaz Vaidya,Bachittar Chawla,Anjali Choudhry,user7_isha26@example.net,5943487814,2000-06-08,Male,432335692122,2023,Bachelor of Technology,Consultant,Dhillon-Keer,Claims inspector/assessor,Not Applicable,"Machine Learning, Project Management, Marketing",Great curriculum overall a wonderful journey.,https://linkedin.com/in/user_5479028,26,,
212MST00008,Dev Dar,Chatura Garg,Rajeshri Gade,user8_samuelnagar@example.org,1715051736,1999-04-04,Other,135730319441,2018,Bachelor of Technology,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Sales, Blockchain, Graphic Design",Thorough placement record with excellent industry exposure.,https://linkedin.com/in/user_5496225,27,,
222INPP00009,Zansi Varkey,Kai Rege,Devika Sheth,user9_crastogi@example.org,5411826395,2004-08-02,Female,391606045898,2022,Bachelor of Pharmacy,Pursuing Ph.D.,Not Applicable,Student / Scholar,Tank-Kala University,"Graphic Design, Cybersecurity, Spectroscopic Analysis",Amazing learning experience overall a wonderful journey.,https://linkedin.com/in/user_0752856,22,,
